Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
3555800,00000420,false,Rx,0,1,69,00,00,00,00,00,00,00,
3561700,00000690,false,Rx,0,2,00,00,00,00,00,00,00,00,
4181000,00000420,false,Rx,0,1,69,00,00,00,00,00,00,00,
4186800,00000690,false,Rx,0,2,00,00,00,00,00,00,00,00,
4575300,00000420,false,Rx,0,1,69,00,00,00,00,00,00,00,
4581000,00000690,false,Rx,0,2,00,14,00,00,00,00,00,00,
4961500,00000420,false,Rx,0,1,69,00,00,00,00,00,00,00,
4967100,00000690,false,Rx,0,2,00,68,00,00,00,00,00,00,
5337300,00000420,false,Rx,0,1,69,00,00,00,00,00,00,00,
5342800,00000690,false,Rx,0,2,00,72,00,00,00,00,00,00,
5759600,00000420,false,Rx,0,1,69,00,00,00,00,00,00,00,
5765200,00000690,false,Rx,0,2,00,99,00,00,00,00,00,00,
6211900,00000420,false,Rx,0,1,69,00,00,00,00,00,00,00,
6217300,00000690,false,Rx,0,2,00,AB,00,00,00,00,00,00,
6634900,00000420,false,Rx,0,1,69,00,00,00,00,00,00,00,
6640300,00000690,false,Rx,0,2,00,D6,00,00,00,00,00,00,
7038100,00000420,false,Rx,0,1,69,00,00,00,00,00,00,00,
7043500,00000690,false,Rx,0,2,00,F1,00,00,00,00,00,00,
7557900,00000420,false,Rx,0,1,69,00,00,00,00,00,00,00,
7563200,00000690,false,Rx,0,2,01,24,00,00,00,00,00,00,
8147800,00000420,false,Rx,0,1,69,00,00,00,00,00,00,00,
8153200,00000690,false,Rx,0,2,01,4F,00,00,00,00,00,00,
8618300,00000420,false,Rx,0,1,69,00,00,00,00,00,00,00,
8623600,00000690,false,Rx,0,2,01,79,00,00,00,00,00,00,
9071000,00000420,false,Rx,0,1,69,00,00,00,00,00,00,00,
9076200,00000690,false,Rx,0,2,01,B9,00,00,00,00,00,00,
9509100,00000420,false,Rx,0,1,69,00,00,00,00,00,00,00,
9514300,00000690,false,Rx,0,2,01,EC,00,00,00,00,00,00,
9899600,00000420,false,Rx,0,1,69,00,00,00,00,00,00,00,
9904800,00000690,false,Rx,0,2,02,24,00,00,00,00,00,00,
10307600,00000420,false,Rx,0,1,69,00,00,00,00,00,00,00,
10312700,00000690,false,Rx,0,2,02,3A,00,00,00,00,00,00,
10698600,00000420,false,Rx,0,1,69,00,00,00,00,00,00,00,
10703700,00000690,false,Rx,0,2,02,40,00,00,00,00,00,00,
11226200,00000420,false,Rx,0,1,69,00,00,00,00,00,00,00,
11231200,00000690,false,Rx,0,2,02,84,00,00,00,00,00,00,
11868600,00000420,false,Rx,0,1,69,00,00,00,00,00,00,00,
11873700,00000690,false,Rx,0,2,02,96,00,00,00,00,00,00,
12275700,00000420,false,Rx,0,1,69,00,00,00,00,00,00,00,
12280600,00000690,false,Rx,0,2,02,E2,00,00,00,00,00,00,
12711200,00000420,false,Rx,0,1,69,00,00,00,00,00,00,00,
12716100,00000690,false,Rx,0,2,03,1F,00,00,00,00,00,00,
13306500,00000420,false,Rx,0,1,69,00,00,00,00,00,00,00,
13311200,00000690,false,Rx,0,2,03,4A,00,00,00,00,00,00,
13807700,00000420,false,Rx,0,1,69,00,00,00,00,00,00,00,
13812500,00000690,false,Rx,0,2,03,8F,00,00,00,00,00,00,
14260700,00000420,false,Rx,0,1,69,00,00,00,00,00,00,00,
14265400,00000690,false,Rx,0,2,03,D0,00,00,00,00,00,00,
14651500,00000420,false,Rx,0,1,69,00,00,00,00,00,00,00,
14656100,00000690,false,Rx,0,2,03,FF,00,00,00,00,00,00,
15118200,00000420,false,Rx,0,1,69,00,00,00,00,00,00,00,
15122700,00000690,false,Rx,0,2,03,FE,00,00,00,00,00,00,
15807900,00000420,false,Rx,0,1,69,00,00,00,00,00,00,00,
15812400,00000690,false,Rx,0,2,03,FF,00,00,00,00,00,00,
16728200,00000420,false,Rx,0,1,69,00,00,00,00,00,00,00,
16732300,00000690,false,Rx,0,2,03,FC,00,00,00,00,00,00,
